Name_1,RAobs,Decobs,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i_1,I_1a,R,LD_cm,Lobs,L_1.4GHz,SFR (Msun/yr),NAME_2,RA2000,DEC2000,SDSS_NAME,RA_1,DEC_1,REDSHIFT,PLATE,FIBER,MJD,MI_Z2,FINT_REST6CM_MJY_OBS,Separation_1,RA_2,DEC_2,Peak_flux,E_Peak_flux,Total_flux,E_Total_flux,Maj,E_Maj,Min,E_Min,Separation
104041.50+600239.3,104041.42,600239.6,0.67,0.297,19.7,6.3,19.7,6.3,1.000,21.7,17.771,-22.59,0.07,4.73647487382827E27,21.7445865657656,22.2660607993182,10.8871150147165,104041.50+600239.3,160.17258333333334,60.04433333333334,b'104041.50+600239.3',160.1729278564453,60.04425048828125,0.2971999943256378,560,624,52296,-23.672745608626016,0.0,0.6873824394307825,,,,,,,,,,,
103421.71+605318.1,0.0,0.0,0.0,0.228,20.7,13.0,20.7,13.0,1.0,21.46,17.118,-22.67,0.04,3.50369312130466E27,21.5042323305211,22.0090874375785,6.02475581071481,103421.71+605318.1,158.59045833333334,60.88836111111111,b'103421.71+605318.1',158.59046936035156,60.88837814331055,0.22769999504089355,560,525,52296,-23.389049978173755,0.0,0.06428563187137401,,,,,,,,,,,
112439.18+420145.0,112439.22,420145.2,0.49,0.225,26.1,5.3,26.1,5.3,1.000,21.56,15.623,-24.14,0.01,3.4517513307389E27,21.5919293732695,22.0960408856537,7.36025561573024,112439.18+420145.0,171.16341666666665,42.029222222222224,b'112439.18+420145.0',171.16326904296875,42.029170989990234,0.22499999403953552,1443,358,53055,-24.856489919821996,0.0,0.4357198323479544,,,,,,,,,,,
103609.28+275019.9,103609.28,275020.68,0.78,0.282,29.3,5.6,29.3,5.6,1.000,21.83,17.436,-22.82,0.08,4.46240704566743E27,21.8652158496311,22.3831537175528,14.2562640028298,103609.28+275019.9,159.0386666666667,27.839077777777778,b'103609.28+275019.9',159.0386962890625,27.83888053894043,0.2815999984741211,2356,431,53786,-23.840485849796327,0.0,0.716294025010537,,,,,,,,,,,
112007.43+423551.3,112007.42,423551.33,0.12,0.227,29.5,6.7,29.5,6.7,1.000,21.62,16.848,-22.93,0.04,3.48636340376342E27,21.653777188304,22.1583846325067,8.49643313866146,112007.43+423551.3,170.03091666666666,42.597591666666666,b'112007.43+423551.3',170.0309600830078,42.59760665893555,0.226500004529953,1365,261,53062,-23.62772586123373,0.0,0.127085692995256,,,,,,,,,,,
152624.02+275452.1,152624.064,275451.98,0.6,0.231,30.4,7.1,30.4,7.1,1.000,21.65,16.213,-23.61,0.03,3.55577676781326E27,21.6839524237964,22.1895493111421,9.1285399971885,152624.02+275452.1,231.60026666666667,27.91443888888889,b'152624.02+275452.1',231.60012817382812,27.91448211669922,0.23080000281333923,1848,390,54180,-24.33083364005046,0.0,0.46724098620273075,,,,,,,,,,,
110052.34+283801.2,110052.34,283801.2,0.0,0.243,30.6,8.3,30.6,8.3,1.000,21.7,17.119,-22.81,0.06,3.76551959012333E27,21.736581113226,22.2451271535689,10.3747864275395,110052.34+283801.2,165.21808333333337,28.633666666666674,b'110052.34+283801.2',165.2180938720703,28.633689880371094,0.24269999563694,2211,271,53786,-23.608455477400927,0.0,0.08995938787711223,,,,,,,,,,,
095302.64+380145.2,95302.723,380145.62,1.07,0.273,33.2,4.1,33.2,4.1,1.000,21.85,17.493,-22.69,0.09,4.29955563241967E27,21.8871950931362,22.4029912259875,14.9225566969111,095302.64+380145.2,148.26134583333337,38.02933888888889,b'095302.64+380145.2',148.2610321044922,38.02924728393555,0.2727999985218048,1277,212,52765,-23.664289603370936,0.0,0.9487977676026594,,,,,,,,,,,
141213.62+643538.9,141213.633,643539.04,0.16,0.288,33.5,7.8,33.5,7.8,1.000,21.9,17.459,-22.84,0.09,4.57163930719088E27,21.9443985873505,22.4637559417609,17.1635829553698,141213.62+643538.9,213.05680416666667,64.59417777777777,b'141213.62+643538.9',213.0567626953125,64.59414672851562,0.28839999437332153,498,105,51984,-23.913644850047877,0.0,0.12882890412112738,,,,,,,,,,,
161911.24+501109.2,161911.253,501109.58,0.4,0.234,41.7,4.7,41.7,4.7,1.000,21.8,16.991,-22.86,0.07,3.6080017530568E27,21.833879398766,22.3402162608478,12.9142227339367,161911.24+501109.2,244.79688749999997,50.18599444444445,b'161911.24+501109.2',244.79684448242188,50.185890197753906,0.23409999907016754,2884,177,54526,-23.729072873802586,0.0,0.38816696239176984,244.79644159897984,50.18558395831263,0.4675161881670794,0.07546499943319378,0.8233895558197458,0.19906641788715235,10.699618544013749,2.1435945268771004,5.92664922953411,0.7707840427167368,1.8000544513409935
