,SDSS_NAME,RA,DEC,REDSHIFT,PLATE,FIBER,MJD
5,b'000011.41+145545.6',0.04754899814724922,14.929354667663574,0.45969998836517334,750,499,52235
6,b'000011.96+000225.3',0.04983900114893913,0.04036499932408333,0.4788999855518341,387,200,51791
14,b'000017.88+002612.6',0.07452999800443649,0.4368380010128021,0.5457000136375427,685,462,52203
31,b'000043.95-091134.9',0.18314200639724731,-9.193037986755371,0.439300000667572,650,538,52143
48,b'000102.18-102326.9',0.259117990732193,-10.390822410583496,0.29429998993873596,650,166,52143
50,b'000104.52+002753.7',0.2688719928264618,0.4649440050125122,0.5511999726295471,1091,521,52902
51,b'000104.92+160101.2',0.27051201462745667,16.017013549804688,0.453000009059906,750,576,52235
53,b'000109.12-004121.6',0.28803500533103943,-0.6893529891967773,0.41659998893737793,387,57,51791
54,b'000110.97-105247.4',0.29572200775146484,-10.879857063293457,0.5281999707221985,650,126,52143
55,b'000111.19-002011.5',0.29666200280189514,-0.33653900027275085,0.5178999900817871,387,161,51791
58,b'000116.00+141123.0',0.31667399406433105,14.189730644226074,0.40380001068115234,750,58,52235
70,b'000131.42+144610.6',0.38093501329421997,14.76962661743164,0.5303999781608582,750,112,52235
71,b'000132.83+145608.0',0.3867979943752289,14.935569763183594,0.39879998564720154,751,303,52251
81,b'000149.52-100251.8',0.4563579857349396,-10.047723770141602,0.3578000068664551,650,152,52143
97,b'000219.11+002232.9',0.5796279907226562,0.3758150041103363,0.5467000007629395,685,539,52203
114,b'000246.18+155955.8',0.6924539804458618,15.99885082244873,0.37389999628067017,751,338,52251
119,b'000253.21-090700.1',0.7217180132865906,-9.116703987121582,0.45969998836517334,650,574,52143
122,b'000257.36-090015.0',0.7390339970588684,-9.004176139831543,0.5166000127792358,650,568,52143
131,b'000316.31-002148.9',0.8179979920387268,-0.3635909855365753,0.5192000269889832,1090,250,52903
147,b'000347.20+005344.7',0.9466959834098816,0.8957539796829224,0.5782999992370605,686,337,52519
157,b'000410.80-104527.1',1.0450270175933838,-10.757536888122559,0.23970000445842743,650,18,52143
162,b'000417.04+160554.1',1.0710029602050781,16.098363876342773,0.4763000011444092,751,379,52251
171,b'000431.05-100913.8',1.1293829679489136,-10.153837203979492,0.4519999921321869,651,275,52141
175,b'000435.75-011318.6',1.1489759683609009,-1.221845030784607,0.5073000192642212,388,296,51793
178,b'000439.97-000146.4',1.1665589809417725,-0.02958199940621853,0.5828999876976013,685,58,52203
182,b'000445.71+002245.0',1.1904950141906738,0.37916800379753113,0.4966000020503998,387,632,51791
209,b'000515.93-003730.7',1.3163880109786987,-0.6251999735832214,0.4763999879360199,1090,203,52903
225,b'000545.61+153833.8',1.4400800466537476,15.642740249633789,0.44119998812675476,751,462,52251
233,b'000557.23+002837.7',1.4884990453720093,0.47714298963546753,0.2596000134944916,388,385,51793
234,b'000559.20+153125.1',1.496682047843933,15.523665428161621,0.46630001068115234,751,477,52251
235,b'000601.82-052845.0',1.507606029510498,-5.479184150695801,0.3294999897480011,2630,149,54327
243,b'000613.84+001909.2',1.5576729774475098,0.31922900676727295,0.5522000193595886,685,609,52203
259,b'000644.07+253442.3',1.683640956878662,25.578439712524414,0.5493999719619751,2822,518,54389
277,b'000710.01+005329.1',1.7917330265045166,0.8914179801940918,0.31619998812675476,388,445,51793
280,b'000717.82-005137.7',1.8242629766464233,-0.8604940176010132,0.5259000062942505,686,136,52519
303,b'000754.85-004003.6',1.9785629510879517,-0.667693018913269,0.5727999806404114,686,131,52519
329,b'000825.75-095143.0',2.1073009967803955,-9.861968994140625,0.5536999702453613,651,495,52141
335,b'000834.71+003156.1',2.1446590423583984,0.53227698802948,0.2632000148296356,388,487,51793
345,b'000859.18+011351.1',2.2466039657592773,1.2308870553970337,0.28679999709129333,388,562,51793
350,b'000904.54-103428.7',2.268925905227661,-10.574640274047852,0.24079999327659607,651,165,52141
367,b'000926.89-110805.1',2.362049102783203,-11.134774208068848,0.42250001430511475,651,85,52141
371,b'000943.14-090839.2',2.4297690391540527,-9.144241333007812,0.20960000157356262,651,535,52141
372,b'000943.37+010459.8',2.430711030960083,1.083279013633728,0.45570001006126404,686,521,52519
384,b'001002.96-010107.2',2.5123488903045654,-1.0186820030212402,0.5548999905586243,388,2,51793
389,b'001007.59-111222.7',2.5316550731658936,-11.206315994262695,0.4690000116825104,651,87,52141
391,b'001010.03+005126.6',2.5418028831481934,0.8574010133743286,0.3871000111103058,389,338,51795
413,b'001030.55+010006.0',2.627307891845703,1.0016820430755615,0.37790000438690186,388,617,51793
426,b'001055.01+155511.3',2.729212999343872,15.919816017150879,0.3093999922275543,752,330,52251
433,b'001103.18+005927.2',2.7632670402526855,0.9908890128135681,0.48590001463890076,686,602,52519
